type,rank,up,title,play,like,follow
car,96,轮哥看世界,维修费14万，芬兰车主炸了自己电动汽车：我是第一个炸特斯拉的！,52.7万,72,
car,97,万牛回首物流人,刚到手的钱还没捂热乎，就没了,43.1万,67,
car,98,小缸和阿灿,艾迪姗大结局，Vivi荧幕首秀，变身驱魔肌肉女..[第五集],81.7万,2473,
car,99,MaybachPullman,海外小哥路遇“YBB”车牌，怒斥其没素质，谁料竟然...,6.9万,84,
car,100,DOWNHILL宕壑,试着给上海所有卡丁车场排个名[魔都卡丁车馆打卡],3.2万,30,
all,1,凉辰lc_,？,574.1万,22.9万,
all,2,罗翔说刑法,【罗翔】高压锅恐惧症？《开端》中的法律问题,397.2万,3万,
all,3,楚天霸-,《转发家庭群》,272.5万,614,
all,4,75fps,谢谢你，火柴人！,277.8万,3863,
all,5,黑神话之悟空,《阶段成果》：游戏科学虎年贺岁小短片,472.4万,6.5万,
all,6,谁不重要i,我用50天的时间，一条命一双手一口气通关造梦西游3！,186.6万,1.2万,
all,7,小九勇敢一点哇,我爹说没有小姑娘会拒绝这个,276.9万,2516,
all,8,手工耿,做了一个27000000毫安的超大巨型充电宝！,302.1万,2.7万,
all,9,-LKs-,尬聊02丨百大UP和顶级大佬，互不认识强行聊天有多尬?,159.3万,2.6万,
all,10,王者荣耀,王者新春贺岁片|一个快递，引发易烊千玺、杨幂、李现、张大仙接力的连环奇遇！,285.2万,3.2万,
all,11,美尼尔动画君,自制伍六七第四季3,212.4万,1.5万,
all,12,零崎人物,这游戏让我深刻明白了宗教的可怕！《以撒的结合》究竟讲述了什么？,216.1万,1万,
all,13,站不起来的蒙蒙,鉴定网络热门艺术（15）,583.4万,5550,
all,14,云南共青团,总书记温暖的牵挂，这一幕幕在云南的画面真暖心！,325.3万,0,
all,15,鲁大能,喔！我直接把PUBG的飞机炸了！！【BUG快乐阴人流#5】,117.5万,1.5万,
all,16,绫人太太啊,《只要是日语就画风突变》,289.2万,3200,
all,17,三代鹿人,《开端》烂尾？我从来没见过这么神奇的热搜！,253.9万,1.4万,
all,18,黑子Eagle,《马路旁的沙发修改了知觉》,360.6万,2904,
all,19,小潮院长,找狗游戏,164.7万,2.1万,
all,20,凉风Kaze,千万别让AI写小说【阅片无数Ⅱ35】,197.1万,1.3万,
all,21,rondeseo,【原神动画】飞彩镌流年,112.4万,1420,
all,22,银色の猫先生,转发给你抽到钟离的朋友,170万,3000,
all,23,中国森林消防,一个都不能少！,215.5万,6591,
all,24,人形兎,【洛天依】梦里啥都有,98万,1754,
all,25,果蝇轰,"2022崩坏3新春会·「""年""接一切」",73.4万,3.1万,
all,26,一条玩MC的小鱼,原来他真的存在！！！,176.5万,1600,
all,27,刘庸干净又卫生,久等了，昏昏沉沉好几天，今天清醒多了。,789.2万,8.1万,
all,28,司墨尧smile,【开端】刘鹏角色曲：⚡你们都是大好人⚡,146万,1335,
all,29,Fafafafafffff,推给我干嘛？推给白敬亭啊！,286.9万,3183,
all,30,带来欢乐的小白呀,“有的人天生就是主角”,612.8万,2766,
all,31,机智的碎月,医生：想迅速瘦40斤？没问题！（拔刀,150.5万,2178,
all,32,芳斯塔芙,【鬼谷说】肌肉演化史：上古洪荒之力,66.4万,5372,
all,33,小傲想睡觉,小潮tEam年夜饭！,131.4万,3.9万,
all,34,韭菜实验室,网络热门爆款鉴定22,171万,1.1万,
all,35,-欣小萌-,南方小妞第一次到东北搓澡，害羞了！,223.3万,1万,
all,36,yoyo鹿鸣_Lumi,你要和鹿鸣一起打雪仗吗？,117万,1360,
all,37,潇潇学姐lady,老师是如何发现学生谈恋爱的,152.6万,471,
all,38,烂泥_-_,《人类随地大小变》,361.5万,841,
all,39,决战平安京官方,【皮肤展示】不知火全新云莱逸梦系列限定皮肤「露玉琳琅」,89.9万,3870,
all,40,任性的KIMKILLS,并非日更的【今日推荐】,108.1万,469,
all,41,小约翰可汗,苏联人为何要在法国干绑票？【小约翰】,92.7万,1.2万,
all,42,老番茄,这画技令我动容,146.5万,4800,
all,43,空耳狂魔,【对比版】😆每天一遍，生草无限😆,75.4万,1308,
all,44,巴拉克体育君,韩国奥运冠军成为中国人，从此他就是身披五星红旗的中国人了,149.4万,719,
all,45,Rookie,大家好我是Rookie今天正式入驻B站啦！,138.8万,2821,
all,46,小强凌凌柒,2022迦勒底新春会,52.6万,1.4万,
all,47,特效小哥studio,红包拿好,100.3万,4460,
all,48,这个账号叫啥呢,【白敬亭】不舍，再见，开端。,231.7万,8388,
all,49,追星的颓废青年,救命！这一块也太心动了吧！一颦一笑清纯又少女封面不如视频系列,121.5万,1205,
all,50,小片片说大片,《开端》烂尾上热搜？我不同意！详细解说国产剧《开端》大结局,126.9万,2万,
all,51,乡村教师日记,第一次读评论！很紧张！,91.9万,1万,
all,52,老实扒蕉的山山,"老爸：""敢养猫就给你丢出去""",148.5万,671,
all,53,萨摩半半的一家,听说在猫咪的世界里主人出门就是去打猎去了,126.1万,40,
all,54,小文哥吃吃吃,巨大活体杀人蟹，苦等了一年多，它果然没让我失望,117.6万,6400,
all,55,旺仔有内涵,过年时你的家人都在干什么,115.2万,363,
all,56,晴虹坡哥的生活日记,吃路边摊最怕的事发生了！城管来了,124.4万,116,
all,57,芜湖共青团,一小学生笔下的“鬼怪异兽”，惊倒网友走红网络！网友：老天爷追着喂饭吃,164.2万,1507,
all,58,山城小栗旬的理发日记,山城小栗旬和川渝菅田将晖（永琪）的理发日记。,278.9万,2.4万,
all,59,涨点儿知识,这样借钱（谁敢）不还？,86.3万,86,
all,60,寻真味佬美,我又当爷爷啦！亲手为小孙女操办一场满月酒席！,197.7万,2591,
all,61,papi酱,我的妈妈是个老甲方（2）,210.6万,842,
all,62,宝剑嫂,让男朋友一个人看美女视频，偷偷把素材变成我自己…,117.4万,1.6万,
all,63,初晓少年,坐车临时身份证！,94.2万,229,
all,64,小迪爱分享,据说在一只活鸡面前画一条直线，它就会被定住！这是真的吗？小伙被这只鸡搞生气了！于是...,192.3万,3694,
all,65,红色激情,不是不豹,131.3万,1133,
all,66,墨竹手写,别人不告诉你的练字小技巧,127.1万,379,
all,67,小唐原神,云堇：这一刻，我仿佛置身于宇宙中心。,79.9万,206,
all,68,雾散风声起,不要叫我权志龙,155.6万,1277,
all,69,是个泡泡_Pao,寻找美国麦乐鸡侠,148.5万,2740,
all,70,是李皮皮吗,不方便多说，今晚蹦迪，地点给我,127.9万,696,
all,71,巫托邦,谨防成年人的坑蒙拐骗！,55.6万,1992,
all,72,侃哥侃英语,最近，国外最近流行这个“怼人神句”,166.4万,2001,
all,73,张三每日普法,张三杀疯了的瞬间！,414.9万,615,
all,74,奇怪的冷门知识,花两分钟做完，你会发现身体轻松了很多,87.2万,116,
all,75,真探唐仁杰,庾记厕所串串厨子探店¥353,240.7万,3290,
all,76,律师叶戈罗夫,串联瓶养蜂法/无接触式养蜂,72.7万,2630,
all,77,高斯Goh,首先咱脑子得跟上嘴,85.5万,6928,
